Time_Seconds,Filtered_BioZ_Amplitude
0.0,-471732.1170985246
0.013248133828427057,-525947.5043122645
0.026496267656854113,-579565.0252659176
0.03974440148528117,-632518.5281730274
0.052992535313708226,-684743.4638758952
0.06624066914213528,-736177.0925681164
0.07948880297056234,-786758.6730854956
0.0927369367989894,-836429.6303103286
0.10598507062741645,-885133.7010463295
0.11923320445584351,-932817.0640755683
0.13248133828427056,-979428.4598621977
0.14572947211269763,-1024919.3003079949
0.15897760594112467,-1069243.7661959273
0.17222573976955174,-1112358.8913935039
0.1854738735979788,-1154224.6355807171
0.19872200742640586,-1194803.9485849051
0.2119701412548329,-1234062.8274742917
0.22521827508325995,-1271970.3638853692
0.23846640891168702,-1308498.7776547526
0.25171454274011407,-1343623.4347212731
0.2649626765685411,-1377322.8509222
0.2782108103969682,-1409578.686207877
0.29145894422539526,-1440375.732871404
0.3047070780538223,-1469701.8977886143
0.31795521188224934,-1497548.1769073007
0.3312033457106764,-1523908.621378903
0.3444514795391035,-1548780.296830042
0.35769961336753053,-1572163.2383364842
0.3709477471959576,-1594060.4021035586
0.3841958810243846,-1614477.61202223
0.3974440148528117,-1633423.4985782579
0.41069214868123877,-1650909.4295248606
0.4239402825096658,-1666949.4342605935
0.43718841633809286,-1681560.1250050652
0.4504365501665199,-1694760.616135281
0.463684683994947,-1706572.4400419865
0.47693281782337404,-1717019.4574450844
0.4901809516518011,-1726127.7624871738
0.5034290854802281,-1733925.5851089212
0.5166772193086552,-1740443.1934028526
0.5299253531370822,-1745712.7966750928
0.5431734869655093,-1749768.4474216988
0.5564216207939364,-1752645.9398711058
0.5696697546223635,-1754382.7044144464
0.5829178884507905,-1755017.6995550776
0.5961660222792176,-1754591.3041719894
0.6094141561076446,-1753145.211353395
0.6226622899360716,-1750722.3221152537
0.6359104237644987,-1747366.6362761825
0.6491585575929257,-1743123.1393104133
0.6624066914213528,-1738037.686653818
0.6756548252497799,-1732156.888614355
0.688902959078207,-1725527.9975000292
0.702151092906634,-1718198.7952854554
0.7153992267350611,-1710217.4793960073
0.7286473605634881,-1701632.546486039
0.7418954943919152,-1692492.676525972
0.7551436282203422,-1682846.6200618793
0.7683917620487692,-1672743.0894372037
0.7816398958771963,-1662230.6518540778
0.7948880297056234,-1651357.621852989
0.8081361635340505,-1640171.9532140102
0.8213842973624775,-1628721.1326157202
0.8346324311909046,-1617052.0778220939
0.8478805650193316,-1605211.041344324
0.8611286988477587,-1593243.5180452988
0.8743768326761857,-1581194.154712943
0.8876249665046128,-1569106.6613616794
0.9008731003330398,-1557023.7259459007
0.914121234161467,-1544986.9346690355
0.927369367989894,-1533036.69831744
0.940617501818321,-1521212.1824486912
0.9538656356467481,-1509551.238620128
0.9671137694751751,-1498090.3355719917
0.9803619033036022,-1486864.4918272295
0.9936100371320292,-1475907.2127436688
1.0068581709604563,-1465250.4340526678
1.0201063047888834,-1454924.4712582768
1.0333544386173104,-1444957.9725406943
1.0466025724457375,-1435377.8730817027
1.0598507062741644,-1426209.3509805521
1.0730988401025916,-1417475.787297654
1.0863469739310185,-1409198.7319963449
1.0995951077594457,-1401397.8745206501
1.1128432415878728,-1394091.0165950463
